Feature ID	Taxon	Confidence
60279f3e28d88237b442b580c247dccc	D_0__Bacteria;D_1__Bacteroidetes;D_2__Flavobacteriia;D_3__Flavobacteriales;D_4__Flavobacteriaceae	0.9999998761073349
5279d7e05210e598608f7947c61ad9f8	D_0__Bacteria;D_1__Planctomycetes;D_2__OM190;D_3__uncultured planctomycete;D_4__;D_5__;D_6__;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__;D_15__;D_16__	0.9790834486352943
3a42794213ba9129c6afd40c3341546f	D_0__Bacteria;D_1__Planctomycetes;D_2__OM190	0.9999994335910809
23e7d1306fd0005a0aa6885b3ef255d5	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bacteriovoracaceae;D_5__Peredibacter	0.9997646207614476
8a388ebddfdc1e5952853ebb3127cbbf	D_0__Bacteria;D_1__Verrucomicrobia;D_2__Opitutae;D_3__Puniceicoccales;D_4__Puniceicoccaceae;D_5__Lentimonas;D_6__uncultured bacterium;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__;D_15__;D_16__	0.9927582841450305
1b23fe822d2a76e0f4abf9503c94cf91	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Chromatiales;D_4__Chromatiaceae;D_5__Nitrosococcus;D_6__uncultured gamma proteobacterium;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__;D_15__;D_16__	0.9196873375293556
ce0a32bad2c91f5d600226896cd75b7a	D_0__Archaea;D_1__Thaumarchaeota;D_2__Marine Group I;D_3__Unknown Order;D_4__Unknown Family;D_5__Candidatus Nitrosopumilus	0.7427805194597443
a80fd470d4dc08ae8ceb5267e44c1038	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Magnetococcales;D_4__Magnetococcaceae;D_5__Magnetococcus	0.9999963547268497
2f9c279b7d32917247075ee9e611ee28	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Surface 2	0.9968030697120995
5e7e6167be920b73255f862cd676011b	D_0__Bacteria;D_1__Bacteroidetes;D_2__VC2.1 Bac22;D_3__uncultured Bacteroidetes bacterium;D_4__;D_5__;D_6__;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__;D_15__;D_16__	0.99948109728576
900ce955f589a2d57fd792326d4eed01	D_0__Bacteria;D_1__Proteobacteria;D_2__Epsilonproteobacteria;D_3__Campylobacterales;D_4__Campylobacteraceae;D_5__Arcobacter	0.9999999969888766
ad12cbad284b88cc9df4fb18763b3fdd	D_0__Bacteria	0.9995124564077739
d28adb5c43356e8c604d6412327bacb3	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bdellovibrionaceae;D_5__OM27 clade	0.9999382014684428
59afd0becbad837ec27830a5426f6a33	D_0__Bacteria;D_1__Bacteroidetes;D_2__Flavobacteriia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS5 marine group	0.9999224239644843
d6001b4e75f039399bb99a9d2b807f8b	D_0__Bacteria;D_1__Bacteroidetes;D_2__Flavobacteriia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS4 marine group	0.9999819295722314
